address,date_added,description,phone,price,seller,title
"Skipwith, between York and Selby, YO8",Reduced on 02/03/2021,"An attractive 6 bedroom Victorian Hall, 3 bedroom flat, 2 bedroom Cottage Annexe and Blackwood Hall Caravan Park offering potential for further development. The property sits in 14 acres of mature grounds and is well-positioned between Selby and York",01653 511031,"£2,000,000","Cundalls, Malton",6 bedroom character property for sale
"St Pegs Mill, Bradford Road, Brighouse",,"FINAL OFFERS DATE 28th May 2021
MULTI LET MILL COMPLEX INVESTMENT WITH DEVELOPMENT POTENTIAL
OVER 63,000 SQUARE FOOT
1.43 ACRES
CLOSE TO £300,000 GROSS INCOME PER ANNUM PASSING
DEVELOPMENT POTENTIAL SUBJECT TO PLANNING",0113 451 3118,"£2,000,000","Monroe Estate Agents, Leeds",Land for sale
"Bossall, York, North Yorkshire, YO60",Added on 21/05/2021,"An historic Grade II listed house, dating from the 17th Century, constructed on the site of a 14th Century moated quadrangular castle. The wonderfully understated Bossall Hall stands on the crest of an area of high land to the west of the River Derwent valley, opposite the historic St Botolph's ...",020 8012 3483,"£2,000,000","Knight Frank, Country Department",5 bedroom detached house for sale
Land off Melmerby Green Lane,Added on 11/11/2020,A POTENTIAL RESIDENTIAL DEVELOPMENT OPPORTUNITY (SUBJECT TO PLANNING). LOCATED ON THE EDGE OF THE ATTRACTIVE VILLAGE OF MELMERBY. COMPRISING APPROX. 5.14 ACRES (2.08 HA).,01423 429064,POA,"Lister Haigh, Harrogate",Property for sale
"Warsill, Harrogate, North Yorkshire",Added on 12/05/2021,"An impressive detached family house together with an annexe and extensive equestrian facilities, set within approximately 21 acres of prime Yorkshire countryside close to Harrogate.",01423 429044,"£2,000,000","Strutt & Parker, Harrogate",9 bedroom detached house for sale
"Park House, Ravensworth, Richmond",Added on 19/03/2021,"Park House is a sensational home set in a quintessential village setting set in approximately 10.98 acres, including a picturesque lake and woodland, the property offers a fabulous lifestyle opportunity. In addition there is a a stunning barn conversion and annex.",01347 973018,"£2,000,000","Hewetson & Johnson, York",5 bedroom house for sale
"Pinderpound, Plompton Road, Follifoot, Near Harrogate, HG3",Added on 21/12/2020,"An exceptional detached property providing luxuriously appointed family accommodation of outstanding quality, set within superb landscaped gardens extending to about ½ an acre and situated close to the heart of this popular and sought after village.",01423 429100,"£2,000,000","Carter Jonas, Harrogate",5 bedroom detached house for sale
"Bossall Hall, Bossall, York",Added on 21/05/2021,An historic property dating from c17th and constructed on the site of a c14th moated quadrangular castle.,01904 200049,"£2,000,000","Blenkin & Co, York",6 bedroom detached house for sale
"Leeds Road, Idle, Bradford, West Yorkshire, BD10 9AD",,"Superb development opportunity.
Popular location between Idle and Thackley.
Outline planning permission for 35 dwellings.",01274 399035,POA,,Land for sale
"Greenfield Road, Holmfirth, Huddersfield",Added on 25/03/2020,"Harden Moss Country House commands a picturesque position up a private tree-lined drive looking over rolling Peak countryside as far as the eye can see. Offering up a fantastic home, rural business, or potential development opportunity, to name but a few probable directions this outstanding forme...",01484 977102,POA,"Boultons, Huddersfield",6 bedroom detached house for sale
"The Old Hall, Jervaulx",Reduced on 14/05/2021,"The Old Hall is a beautiful family home with 6 bedrooms and a two bedroom apartment all retaining a wealth of period features with lovely rooms and high ceilings, enjoying a stunning setting in 5.5 acres.",01423 429064,"£1,995,000","Lister Haigh, Harrogate",8 bedroom manor house for sale
"Jervaulx, Ripon, North Yorkshire, HG4",Reduced on 14/05/2021,"Stunning country home with annexe, stabling and land. The Old Hall is a beautiful family home built circa 1890 and retains a wealth of original period features with well-proportioned rooms and high ceilings. This immaculately presented property offers over 6,320 sq ft of extensive family accom...",01423 429050,"£1,995,000","Knight Frank, Harrogate",8 bedroom detached house for sale
"Blake Hill, Halifax, HX3",Reduced on 05/05/2021,"A wonderful family property originally dating back to the 18th Century, which has been tastefully modernised throughout and stands within approximately 8 acres of grounds including both grazing land and well thought out landscaped gardens. Over recent years the property has been ...",0113 451 3230,"£1,950,000","Strike, Yorkshire",5 bedroom detached house for sale
"Birdforth Hall and Cottages, Birdforth, York, North Yorkshire, YO61",Reduced on 24/02/2021,Outstanding residential and lifestyle investment and business opportunity in a very accessible location. ,01904 200057,"£1,950,000","Savills, York",6 bedroom detached house for sale
"Swan Road, Harrogate, North Yorkshire, HG1",Added on 26/03/2021,One of Harrogate's finest and sought after homes in the centre of town. This immaculate Grade II listed early Victorian town house occupies a prominent position within the town centre and is one of Harrogate's most admired homes. 22 Swan Road offers a unique opportunity to live on one of Harrog...,01423 429050,"£1,950,000","Knight Frank, Harrogate",6 bedroom terraced house for sale
"Church Lane, Chapelthorpe",Added on 14/05/2021,"Holroyd Miller are excited to offer a truly once in a lifetime opportunity offering for sale this impressive Grade Two listed detached residence set in extensive mature landscaped gardens of approximately 5.5acres, sat in the conservation area of Chapelthorpe village. Offering a unique opportunit...",01924 767176,"£1,950,000","Holroyd Miller, Wakefield",7 bedroom detached house for sale
"Nether Silton, Thirsk, York, North Yorkshire",Added on 26/03/2013,A superbly situated and quite idyllic residential farm on the western edge of the North York Moors National Park.,01904 611828,"£1,950,000","Humberts, York",6 bedroom house for sale
"Hions Close, Brighouse",Added on 28/05/2021,"Baxter Estate Agents are pleased to offer for sale this well presented 2 bedroom property situated on a quiet cul-de-sac a short walk from Brighouse train station, shops, bars and restaurants. Accommodation comprises; lounge, dining kitchen, 2 bedrooms and bathroom. Externally there is an enclose...",01422 757076,"£155,000","Baxter Estate Agents, Hepworth",2 bedroom terraced house for sale
Investment Property - Retford - Fully Let,,17 Self-contained studio apartments fully let - Ground floor commercial space circa 900 sq ft - Income circa £150k ERV including the commercial space - Retford town centre location - Investment return Circa 7% when fully let,01664 900003,"£1,900,000","P&F, Commercial",Land for sale
"Welham Road, Welham",,"This is a UNIQUE OPPORTUNITY to acquire building land measuring approximately 9.7-ACRES, consisting of eight building plots with FULL PLANNING PERMISSION to erect a range of four and five-bedroom detached properties, as well as a FARMHOUSE FOR CONVERSION. Seven of the plots feature PADDOCKS MEASU...",01777 597016,"£1,900,000","Newton Fallowell, Retford",Land for sale
"Bewerley, Harrogate, HG3",Added on 07/08/2020,"17th century Country Estate in the heart of the Yorkshire Dales. Roundhill Estate features a 17th century Grade ll listed Country House and two detached stone barns privately situated in the heart of the Yorkshire Dales. Nidderdale's Area of Outstanding Natural Beauty, is one of only 46 in the ...",01423 429050,"£1,850,000","Knight Frank, Harrogate",6 bedroom property for sale
"Hutton Sessay, Thirsk",Added on 28/05/2021,"An opportunity to acquire a residential farm conveniently located between the market towns of Thirsk and Easingwold in North Yorkshire and with ready access to the A19 and the A1. The farmstead benefits from being slightly elevated above the surrounding countryside, giving delightful views acros...",01653 511024,"£1,835,000","BoultonCooper, Malton",4 bedroom country house for sale
"Oaks Lane, Boston Spa, LS23 6DS",Added on 14/05/2021,"Hickory House is a superb modern family home, offering substantial accommodation of significant quality, situated in the heart of the popular and much sought location of Boston Spa. The village is widely regarded to have an excellent range of facilities and amenities.",01423 429046,"£1,800,000","Windsor Court Properties, Knaresborough",6 bedroom detached house for sale
"St. Giles Road, Halifax, HX3 8BN",,"LAND FOR SALE: OUTLINE PLANING FOR FOURTEEN LARGE EXECUTIVE DETACHED HOMES. 2@ 1750SQFT, 2@ 2,200SQ FT, 10@ APPROX 2,500SQ FT. Location: Situated between Hove Edge & the delightful village of Lightcliffe. Calderdale Planning Reference Number: 19/00878/OUT. Address:...",01274 399057,"£1,800,000","Townend Estate Agents, Bradford",Plot for sale
"Bentley, Beverley",Added on 09/01/2021,* PERIOD COUNTRY HOME * Located within a picturesque and truly beautiful setting this impressive home is one not to be missed. Having undergone a huge transformation to provide a quality finish where no expense has been spared. Enhanced both internally and externally with a sympathetic desig...,01482 750358,"£1,800,000","Woolley & Parks, Beverley",5 bedroom detached house for sale
"St. Saviours Place, York",Added on 11/05/2021,"This stunning and exclusive three bedroom luxury Penthouse commands breath-taking panoramic views of the City of York, overlooking the finest landmarks York has to offer including York Minster and York’s historic city walls. Set in the most prime and central location of Aldwark, Apartme...",01904 200093,"£1,800,000","Ashtons Estate Agents, York",3 bedroom penthouse for sale
"Aislaby, Pickering, YO18",Added on 21/01/2021,"Magnificent Georgian home with land. One of the outstanding Georgian houses in the region, Aislaby Hall was built in 1742 in the Classical style. The stone quoins, symmetrical facade, enormous sash windows, plaster work and grand rooms that follow the Classical rules of design and propo...",01423 429050,"£1,750,000","Knight Frank, Harrogate",8 bedroom detached house for sale
"The Avenue, Harewood, Leeds, LS17",Added on 29/04/2021,"A significant Grade II listed period family residence together with two storey stone barn, range of outbuildings and home office all set in beautiful private formal gardens of approximately 1 acre enjoying views over the adjoining Harewood Estate.",01423 429100,"£1,750,000","Carter Jonas, Harrogate",6 bedroom detached house for sale
"Buckstone Grange, Cliffe Drive, Rawdon, Leeds, West Yorkshire",Added on 16/03/2021,"Approached via double electric gates and an impressive tree lined driveway; Buckstone Grange enjoys a huge degree of privacy with woodland views and a two storey larger than average double garage. The first floor room could be an ideal office, gym or annexe. ",0113 451 3240,"£1,750,000","Fine & Country Manning Stainton, Leeds",4 bedroom detached house for sale
"Barmston Farm, Barmston Lane, Woodmansey, Beverley, HU17",,A rare opportunity to purchase a charming country house with holiday business and fishing lake in a private yet accessible location close to the popular town of Beverley.,01904 200057,"£1,750,000","Savills, York",Land for sale
"Sandmoor Lane, Alwoodley, Leeds, LS17",Added on 21/04/2021,A stunning and luxuriously appointed contemporary home set in a secluded south facing private garden overlooking Moortown golf course and in one of the most sought after residential locations in the popular North Leeds suburb of Alwoodley.,01423 429100,"£1,750,000","Carter Jonas, Harrogate",6 bedroom detached house for sale
"Volkswagen, Halifax Road, Shelf, Halifax, West Yorkshire, HX3",Added on 09/11/2020,"High Specification Car Dealership Premises Asking Price £1750000.00  The
property comprises a modern well presented car dealership previously operated under the VW marque The premises are of steel portal frame construction with the elevations clad in a combination of metal pro...",0121 396 1085,"£1,750,000","Knight Frank, Birmingham - Commercial",Property for sale
"Allerston, Pickering, North Yorkshire, YO18",Added on 27/05/2021,"A first class holiday cottage complex with substantial owners farmhouse and numerous leisure facilities, set in about 6 acres.",01904 200057,"£1,750,000","Savills, York",18 bedroom detached house for sale
